categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
Scarpe Sportive,44.0,donna,PUMA,SOFTRIDE ENZO 5  - Scarpe da allenamento - cool dark gray/for all time red/white,44.95,75.0,https://www.zalando.it/puma-softride-enzo-5-unisex-scarpe-da-allenamento-cool-dark-grayfor-all-time-redwhite-pu144a0cn-c11.html?size=44,SOFTRIDE ENZO 5,scarpe da allenamento,cool dark gray/for all time red/white
Scarpe Sportive,44.0,donna,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - black- white- black,45.95,80.0,https://www.zalando.it/puma-pwr-hybrid-tr-unisex-scarpe-da-allenamento-black-white-black-pu144a0cq-q13.html?size=44,PWR HYBRID TR UNISEX,scarpe da allenamento,black- white- black
Scarpe Sportive,44.0,donna,PUMA,DARTER PRO - Scarpe da corsa su strada - black black cool dark gray,59.95,80.0,https://www.zalando.it/puma-scarpe-da-allenamento-black-black-cool-dark-gray-zzo32y902-q11.html?size=44,DARTER PRO,scarpe da corsa su strada,black black cool dark gray
Scarpe Sportive,44.0,donna,MIZUNO,WAVE STEALTH NEO 2 UNISEX - Scarpe da pallamano - neo mint/black/frontier blue,152.99,169.99,https://www.zalando.it/mizuno-sneakers-basse-neo-mintblackfrontier-blue-m2744a00t-m11.html?size=44,WAVE STEALTH NEO 2 UNISEX,scarpe da pallamano,neo mint/black/frontier blue
Scarpe Sportive,44.0,donna,ASICS,PATRIOT 13 - Scarpe da corsa su strada - ube/lavender glow,64.99,64.99,https://www.zalando.it/asics-patriot-13-scarpe-da-corsa-su-strada-ubelavender-glow-as141a0w9-i13.html?size=44,PATRIOT 13,scarpe da corsa su strada,ube/lavender glow
Scarpe Sportive,44.0,donna,MIZUNO,WAVE MIRAGE 5 UNISEX - Scarpe da pallamano - mint/black/blue,127.99,159.99,https://www.zalando.it/mizuno-sneakers-basse-mintblackblue-m2744a00q-m11.html?size=44,WAVE MIRAGE 5 UNISEX,scarpe da pallamano,mint/black/blue
Scarpe Sportive,44.0,donna,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - mauve mist cool dark gray,51.95,65.0,https://www.zalando.it/puma-caven-20-sneakers-basse-mauve-mist-cool-dark-gray-pu115o0nn-j12.html?size=44,CAVEN 2.0 UNISEX,scarpe da basket,mauve mist cool dark gray
Scarpe Sportive,44.0,donna,NEW BALANCE,TEKELA MAGIA V4 - Scarpe da calcio con tacchetti - black red,150.0,150.0,https://www.zalando.it/new-balance-scarpe-skate-black-red-ne244a01m-q11.html?size=44,TEKELA MAGIA V4,scarpe da calcio con tacchetti,black red
Scarpe Sportive,44.0,donna,ASICS,GEL-CONTEND 9 - Scarpe da corsa su strada - ube/coral reef,69.99,69.99,https://www.zalando.it/asics-gel-contend-9-scarpe-da-corsa-su-strada-ubecoral-reef-as141a197-i12.html?size=44,GEL contend 9,scarpe da corsa su strada, ube/coral reef
Scarpe Sportive,44.0,donna,ASICS,GEL-CUMULUS 27 - Scarpe da corsa su strada - white lake grey,159.99,159.99,https://www.zalando.it/asics-gel-cumulus-27-scarpe-da-corsa-su-strada-white-lake-grey-as141a1am-a11.html?size=44,GEL cumulus 27,scarpe da corsa su strada, white lake grey
Scarpe Sportive,44.0,donna,ASICS,SNAPDOWN 4 WRESTLING SHOE UNISEX - Scarpe da allenamento - black/white,89.99,89.99,https://www.zalando.it/asics-snapdown-4-wrestling-boxing-shoe-unisex-scarpe-da-allenamento-blackwhite-as144a02a-q11.html?size=44,SNAPDOWN 4 WRESTLING SHOE UNISEX,scarpe da allenamento,black/white
Scarpe Sportive,44.0,donna,NEW BALANCE,HESI LOW - Scarpe da basket - electric sky,77.99,119.99,https://www.zalando.it/new-balance-hesi-low-scarpe-da-basket-electric-sky-ne242a0o5-k11.html?size=44,HESI LOW,scarpe da basket,electric sky
